covariate,411.2_all_hazards ratio,411.2_all_95% confidence interval (lower),411.2_all_95% confidence interval (upper),411.2_all_pvalue,411.2_new_hazards ratio,411.2_new_95% confidence interval (lower),411.2_new_95% confidence interval (upper),411.2_new_pvalue,591_all_hazards ratio,591_all_95% confidence interval (lower),591_all_95% confidence interval (upper),591_all_pvalue,591_new_hazards ratio,591_new_95% confidence interval (lower),591_new_95% confidence interval (upper),591_new_pvalue,585.1_all_hazards ratio,585.1_all_95% confidence interval (lower),585.1_all_95% confidence interval (upper),585.1_all_pvalue,585.1_new_hazards ratio,585.1_new_95% confidence interval (lower),585.1_new_95% confidence interval (upper),585.1_new_pvalue,250.2_all_hazards ratio,250.2_all_95% confidence interval (lower),250.2_all_95% confidence interval (upper),250.2_all_pvalue,250.2_new_hazards ratio,250.2_new_95% confidence interval (lower),250.2_new_95% confidence interval (upper),250.2_new_pvalue,282.5_all_hazards ratio,282.5_all_95% confidence interval (lower),282.5_all_95% confidence interval (upper),282.5_all_pvalue,282.5_new_hazards ratio,282.5_new_95% confidence interval (lower),282.5_new_95% confidence interval (upper),282.5_new_pvalue
401.1,0.993445817576509,0.8504681348894224,1.1604604005399677,0.933899333887115,0.6896213358502515,0.5538425463812731,0.8586873470939358,0.0008943571331694,0.7563573535755337,0.6749334759490703,0.8476041961073999,1.546544825138553e-06,0.8086849961466891,0.6770388839595082,0.9659288978620654,0.0191628460889589,0.9956275709929888,0.9018482254814042,1.0991586301478382,0.930816601966186,0.9116377114378807,0.7969241185741692,1.0428638028958692,0.1775674254903729,0.6553539434441609,0.6019612117363811,0.7134825015534387,1.9183001234374011e-22,0.6160714106660989,0.5027601250063259,0.7549206155427333,2.996491453335477e-06,1.0242723556586526,0.9310759769083417,1.1267972588554993,0.6222043426855222,0.0499871295349457,0.0066796953943113,0.374075907903142,0.0035284987359656
512.7,0.9252769713042716,0.809895463612799,1.0570962699394928,0.2530971455276407,0.6078450665700353,0.4899551514001851,0.7541009088232868,6.023508848854767e-06,0.8423309405673869,0.7614651100497719,0.9317845349352408,0.000862213265829,0.8129211412575446,0.6856055340066558,0.9638790078626368,0.0171585962814429,0.8004731358753654,0.732822325753233,0.874369159809013,7.814971147183456e-07,0.6493113383641109,0.5711991509783287,0.7381054635779537,4.016254899512766e-11,0.8301947836541278,0.774864261077819,0.8894762778810184,1.2353510787164642e-07,0.6275125860082885,0.5066632786747807,0.777186865858431,1.9588027746424417e-05,1.3947079420543418,1.2677543294317632,1.534374758949824,8.36247519269768e-12,0.4788497828374994,0.1701694281115524,1.3474636253299712,0.1630161110135472
272.1,1.2518419285997835,1.0772522187740925,1.4547273023802978,0.0033790246296732,0.9669542073523296,0.7711316153246317,1.2125043514429823,0.7710110636905837,0.904798840826786,0.8065708347280567,1.0149895174892052,0.0879677907861441,0.8355206952946841,0.6888407390909291,1.013434300048798,0.0680802698547441,0.8573101214777656,0.7799446737990656,0.9423497192540246,0.0014202542757943,0.8628739796943565,0.7478516127421574,0.99558721562894,0.0433261119137275,0.894103735554076,0.8305446185289883,0.96252684334725,0.0029287678573314,0.6194679475816669,0.4812281327052952,0.7974191698307173,0.000201600608011,0.3358021370608639,0.2784514526105792,0.404964938043778,3.310401075510522e-30,0.993791465225434,0.2237156400068511,4.414628661298197,0.9934686601053916
646.0,0.8893479974546666,0.7495688523542572,1.0551930727810126,0.1788967330766527,0.8088499220543225,0.5957146833155308,1.0982408436972415,0.1740034511995703,0.8317896095023389,0.7355043420331581,0.9406796329216808,0.0033437828893676,0.8328328415075855,0.651313681954747,1.064940843576185,0.1447462164999346,0.8711793986100054,0.7863736659574619,0.9651309261970448,0.0083107787774949,1.0122719702670522,0.845267285031064,1.212272804040537,0.8945163400130283,1.1955987334900378,1.099706059950798,1.2998531003702367,2.813105726916608e-05,0.8308989961725155,0.5750745559310618,1.200528061483659,0.3238383884085239,0.99875346344692,0.8961995248947686,1.113042858245596,0.9819980853310672,0.9590098769899988,0.310563268987948,2.9613931717084774,0.9420011620559424
512.8,0.7108168087741272,0.6122593137777012,0.8252394439185027,7.386074824215474e-06,0.8459757133823016,0.6682390000069647,1.070986439919303,0.1645180204365587,0.7785230656736163,0.7021326937281536,0.8632245289243151,2.021732534493822e-06,0.8267652312427128,0.6875911242379144,0.9941093238360412,0.0430952738089947,0.7964018937563012,0.7269391555345742,0.8725021503515046,1.0127871496811347e-06,0.7124128217673423,0.6159924613714611,0.8239257141045607,4.871319149680476e-06,0.8594977020572228,0.7989510138251547,0.9246327835605128,4.857012099479642e-05,0.7005074607166697,0.544653139474344,0.90096001832159,0.0055672491134494,1.217866243390087,1.1073075497229132,1.339463627029573,4.924124513687627e-05,0.2113561761906295,0.0729643056190195,0.6122368031181535,0.0041817951989821
760.0,0.8445403157426421,0.7266722892540634,0.9815268250380628,0.0275886780442012,1.038530291313216,0.825001051877947,1.307325807064154,0.7475106238049354,1.0574519119857475,0.9534484040785698,1.1728002704487897,0.2902720231315183,1.0159704613242309,0.8426376052214691,1.224958359189393,0.8681492882104437,0.8916749480549059,0.8113736174994934,0.9799236699845192,0.0172583626926876,0.909498775334274,0.7848848375336285,1.053897314329382,0.2070433447874579,0.7981145640640392,0.7399685477938261,0.860829638327563,5.132041806973804e-09,0.7072215508953055,0.5473291261193814,0.9138236906867396,0.0080700762942695,2.411903465173557,2.194385711482346,2.6509825938424187,1.80612189830506e-74,0.7868252389724414,0.3548384680295434,1.7447205206412244,0.5551426910613264
1009.0,1.0705890151714883,0.9244824846650568,1.2397864301573165,0.3622380213794794,0.96202005111423,0.7588944541211674,1.219514220613951,0.74898575133947,0.8757439570087114,0.7911187733735606,0.9694214118657226,0.0105000608531735,0.9919235934679204,0.8236549105640085,1.1945687479779183,0.9318649200470488,1.041306556695588,0.949376995319135,1.1421377917975837,0.3907082161940157,0.9820197129625424,0.845708852498775,1.1403010785540182,0.8119041312038288,0.8832964888669299,0.8193950972848133,0.9521812979233052,0.0012000966956343,0.7246701858223908,0.5597099672425611,0.9382482159590988,0.0145403857674079,0.9392747755420848,0.8582910314630936,1.0278997119027564,0.1732615950802395,0.2652040955175627,0.1051819843619144,0.6686811691751621,0.0049099947587607
530.11,0.9471869100141366,0.8221636072161482,1.091222032485637,0.4524994928535423,0.8760271481316974,0.6892403028203492,1.1134339665331268,0.279352566627728,1.056932345046293,0.9559106259989418,1.1686301539306174,0.2800265322983074,0.8781475377268173,0.7259165392852825,1.0623026977383905,0.1809800923598348,0.9705436131895772,0.8872775970514258,1.0616236770018266,0.513556797140189,0.8780839595902784,0.755741958350101,1.020231087569916,0.0894458527438578,1.0804241606221423,1.0076173458549065,1.1584917346432324,0.0297688377064515,0.8721707887097965,0.66806276301201,1.1386383537514926,0.3146654465919796,0.5350747721678798,0.4811691000627576,0.5950195300844681,8.064479806454799e-31,0.1446257352203047,0.0200670117856984,1.0423377188087743,0.0550077286216808
339.0,1.052055643551945,0.8956340273181695,1.235796143703576,0.5366521219086757,0.9380357969710834,0.7229439346317055,1.2171222611438537,0.6302605679519875,0.8540639266085134,0.7648523372067405,0.9536810639787424,0.0050705518588216,0.8927734222997978,0.7260455565587054,1.0977883913272697,0.2822017901483731,0.8129384137292545,0.7336839862366613,0.9007541079184233,7.586170292480874e-05,0.7771602621821209,0.6556612341989161,0.9211739868270852,0.0036541342252855,0.8665868669457271,0.7992321871961924,0.9396178106856768,0.0005230433238458,0.7932016849552083,0.5955787869940105,1.056399130988708,0.1130392371943174,1.164985782965017,1.0585984794312129,1.2820648252204518,0.0017752492701664,1.1138197221699022,0.5366316376015619,2.311817430368789,0.7723341527320838
508.0,1.0333471241816286,0.8778223129073313,1.2164264491271444,0.6934632963978551,1.450178530769753,1.1115287684349668,1.892004805297635,0.0061587957151057,0.8998699215282183,0.7984931503631051,1.0141174978181977,0.0836155009705911,1.033434410342022,0.8248114814671826,1.294825186695047,0.7749834416798763,1.025582249622637,0.9239623687684296,1.1383785598790372,0.6351554532964143,1.0926675409601243,0.924655694981732,1.291207485713299,0.2981678076906015,0.852270655187517,0.7849828365804605,0.9253263075890288,0.0001392450595686,1.293369737370844,0.9456917775814112,1.7688694320943483,0.1073083026816582,0.853694063581004,0.7613835076497509,0.957196402169384,0.0067441108699841,±,±,±,±
