feature,importance,wasserstein_distance_training,wasserstein_distance_eval,wasserstein_distance_all_visits
BLACK OR AFRICAN AMERICAN,0.0096412945431337,0.03213051632858645,0.024267729889739426,0.011825449610830934
Z20,0.0094113203734484,0.4176073837858899,0.4051155348868561,0.5360718982939331
I50,0.0089272807928736,0.3669974761496859,0.3586564613038444,0.46636029272846563
R53,0.0086297328384022,0.4250981258423703,0.41368456607175585,0.5366935567740063
age_senior,0.0086171257086632,0.08301262058202151,0.08618543290405133,0.018938617570384324
R00,0.0082182979454235,0.3566124194495758,0.3652717140624685,0.4048528081037274
age_adult,0.0080658839817683,-0.04881568491392851,-0.052483425664103,0.020200467113221855
J18,0.0080002144176587,0.47815075129856727,0.46889169714735657,0.6098572329779105
2020-03-01,0.0077275092513331,0.24641438324707737,0.277787734823918,0.19083251358194817
Z79,0.0075036073080693,0.33683821055492524,0.372145447097673,0.48477573600117496
J80,0.0073793482112491,0.4929326639699928,0.47412490667275553,0.6928079160516896
N18,0.0072710621654882,0.37586145856323494,0.3813455589186372,0.4683812761906242
E87,0.0070782108752201,0.4599625792661547,0.4601038053750866,0.547830578666145
2021-05-01,0.0070312771782347,-0.3174016151242754,-0.35592517512221516,-0.20867187506526916
I25,0.0065632424751921,0.24342505175653234,0.3078945847911816,0.38871806679131904
J45,0.0064960765016687,0.41414673547190767,0.38132467644919243,0.4927056138626301
2020-05-01,0.0064945257314784,0.19342751450308077,0.17272298775959893,0.19379178488413346
2020-12-01,0.0059695394540082,0.11189431056413272,0.09365435552802816,0.17801878730300005
2021-01-01,0.0057260091687027,0.1352224369272687,0.16565712072762673,0.1649778301678003
J06,0.0057023426184159,0.45244212715095794,0.3937885799211306,0.4080334207374282
2021-02-01,0.0053380671257991,0.1470799788854416,0.13538010932231395,0.14962165594244503
2021-11-01,0.0049991118952299,-0.28517160541702924,-0.33352003380151657,-0.1660475683465758
Z78,0.0049986390508864,0.4223991044076168,0.4035809472591083,0.46062568835616713
T86,0.0049918636561485,0.3549888403876184,0.3710337589294578,0.5083421284445265
Z34,0.0048119661605026,-0.08160338227718794,0.1108378680749699,0.1142881264316927
D84,0.0047375504400201,0.4042074110858643,0.38645840195465814,0.5505472902048476
2021-03-01,0.0044594484454007,0.05597188468893703,0.08391828488629725,0.1040231660592977
age_child,0.0043196830035714,-0.11848880826802963,-0.10739670507490305,-0.040946912339729004
R41,0.0042319177073052,0.41689992179219953,0.3999150100479929,0.44427447167127704
2020-11-01,0.0041640186657329,-0.0866942058418787,0.07541003718535585,0.09262186135890516
2020-07-01,0.0041634698227136,-0.11619025237886431,0.09853193443606066,0.14660719867938735
2020-10-01,0.0041034959183946,-0.12593709354633112,-0.10705226536421358,0.08399930840499252
2020-09-01,0.0040368167461407,-0.15036640730192605,-0.10582271545372653,0.061231508468030105
2020-06-01,0.0039898497608068,0.06704117615475677,0.09326729691154655,0.1161780465950315
E78,0.0037894290059289,0.2790074273532803,0.2880392523122318,0.3739962948010705
O98,0.003767014778573,0.423515140899791,0.33659235015482847,0.545973373455889
I48,0.0036583334278481,0.2344665477819651,0.26153038725150846,0.24471525471002137
2020-08-01,0.0036240597036337,-0.10727611495058818,0.10197889725425821,0.1493264607662292
2021-04-01,0.0033480396670941,-0.13075760802556827,-0.13911931787782778,-0.09744274577103962
A41,0.0032761872297454,0.45165425173922163,0.4635904671896892,0.5798919812060966
R91,0.003164981137464,0.24280421919279543,0.24872363666093977,0.34529333311928495
J84,0.0030877449260094,0.33427689402305627,0.33469914995611905,0.47710725399952775
Z86,0.0030383024119803,0.3548645214023286,0.2708897223793029,0.3809132497544593
E66,0.0029885820568376,0.3160068051054062,0.35287063260499524,0.3470560993466597
R10,0.0029240477588937,0.14346428024268135,0.20112894525002709,0.17565737701123563
ASIAN,0.0028528151184971,0.02271781636919,0.0206798657742668,0.020192890147361944
Z95,0.002842684170173,0.1672661361462697,0.17939508754785624,0.23367792721250286
R94,0.0025412851169277,0.29541000548843693,0.34597495230805597,0.36476770667459457
R11,0.0025217285161957,0.3096178132839024,0.3067105157021147,0.36350923343478136
R73,0.0024132147845495,0.41575147643003313,0.37375007828137324,0.4485812162803679
M25,0.0024114939900166,-0.041702860682170294,0.04895601154685705,0.033773780181241705
Z98,0.0023576568406832,0.10767258605950637,0.08986136715113513,0.13630951366662025
O09,0.0023382535013735,0.07985768415391306,0.1308161501189504,0.15853235937034862
I42,0.0023361958943575,0.30283258608218955,0.22263481038853816,0.35078288022965604
B34,0.0023061245226241,0.26648668304574386,0.27656193451183697,0.259851044105513
M30,0.002258973527429,0.44595947565529653,0.35824643393513966,0.5354446852285556
age_adol,0.002246143100758,-0.07764677338645605,-0.10348212920351912,-0.033645977072553096
2021-12-01,0.0022217112850002,-0.1039337126577668,-0.16683523564411312,-0.09344963698488833
N39,0.0022000936106353,0.37806386717733914,0.3885894134806537,0.39927458357329726
Z00,0.0021892833797349,0.15541145964430356,0.20412877681507546,0.17472508906370726
I82,0.0021883345490893,0.43903695067745563,0.38144992973945785,0.40605763142285656
R42,0.0021643866944712,0.2564022182006625,0.292522960379006,0.34572158801429254
I95,0.0021612124347662,0.433786830881282,0.42773697759666784,0.5281299790254163
G93,0.0021133548905195,0.39033714350859666,0.3684681159827792,0.4061930786248938
M79,0.0020991883056286,0.16134269894971662,0.16000890325138484,0.12071760773659349
I35,0.0020485759374437,0.05008985899361723,0.10554859612865553,0.21598695930153092
Z12,0.002027570177031,-0.24591835447107235,-0.23856821450000454,-0.08941184025992381
R19,0.0020029857150075,0.34424210262110094,0.324099320471306,0.3161482498749819
I73,0.0020025538493202,0.21638660339412558,0.19888888314540557,0.25565848532947366
F41,0.0019898407731927,0.3264250799821477,0.2876662902974049,0.3872282096967621
I34,0.001954964079824,0.1023583450657744,0.17167779578813294,0.2811662403939865
I47,0.001931084779892,0.16085984517701385,0.15171693473255227,0.1626692495603564
M54,0.0019259932482849,0.07846203651177118,0.12187516170738669,0.0925379177726783
M35,0.0018710614687268,0.3518990528089664,0.3327315661238488,0.406786267113642
2022-01-01,0.0018582668642878,0.051004798372942924,-0.08834571929588694,0.08407148678127689
Z45,0.001842758962106,0.19628919580701298,0.1632891087788053,0.26977839731599224
2022-02-01,0.0018296129341917,-0.15175645476697303,-0.16982948344700408,-0.10271528527039536
R57,0.0018206896099345,0.4825476304966923,0.47589264716531654,0.5775970380573057
C91,0.0017253706415636,0.15457895465388136,0.19745749481140926,0.21630335149059376
I63,0.0016940870548365,0.3525402292136395,0.2835684508831908,0.268805787275241
Z51,0.0016744875214357,0.22829933006967082,0.261547974868985,0.310942021860926
R55,0.001657670494841,0.23422566299213937,0.20153738469130492,0.20673982423757742
C50,0.0016312126538032,-0.12996186347046335,-0.08210057036939214,0.05306867824262089
Z23,0.0016030240636658,0.19497490232150871,0.21080308971790787,0.2954266141799351
Z48,0.0015540966528918,0.2616862434103113,0.3239201412149939,0.3610786906833736
O80,0.0015003430370765,0.25325301092513647,0.2002671755070487,0.3023469177064186
I40,0.0014638113525464,0.43808463072264686,0.35390641971044046,0.5034958843570971
K56,0.001457112639157,0.32901742253815197,0.3576206245640724,0.38351264666367724
